,min,mean,max
60,0.6305732484076433,0.7292993630573248,0.802547770700637
63,0.6575342465753424,0.7174657534246576,0.8356164383561644
66,0.664179104477612,0.7169776119402985,0.7835820895522388
69,0.6311475409836066,0.7260245901639345,0.819672131147541
72,0.6363636363636364,0.7265909090909091,0.8181818181818182
75,0.6224489795918368,0.7257653061224489,0.826530612244898
78,0.6091954022988506,0.7267241379310344,0.8735632183908046
81,0.5866666666666667,0.7026666666666668,0.8133333333333334
84,0.6349206349206349,0.7214285714285713,0.8253968253968254
87,0.5882352941176471,0.7191176470588235,0.8823529411764706
90,0.525,0.73875,0.875
