,min,mean,max
60,0.6178343949044586,0.6961783439490447,0.7579617834394905
63,0.6301369863013698,0.707876712328767,0.7602739726027398
66,0.6268656716417911,0.7037313432835821,0.7835820895522388
69,0.6229508196721312,0.7034836065573771,0.7622950819672131
72,0.6272727272727273,0.7050000000000001,0.7727272727272727
75,0.6224489795918368,0.7142857142857142,0.7959183673469388
78,0.6206896551724138,0.7048850574712644,0.7816091954022989
81,0.6133333333333333,0.7216666666666667,0.8
84,0.6031746031746031,0.7158730158730158,0.8571428571428571
87,0.6078431372549019,0.7137254901960784,0.8431372549019608
90,0.6,0.713125,0.8
